model,acc,acc_std,f1,f1_std,logloss,logloss_std,best_params
svm,0.4749206349206349,0.01279329630451421,0.3590957321525684,0.011003215286816742,1.053275991344218,0.008608787904351217,"{'svc__C': 0.5, 'svc__kernel': 'rbf'}"
logreg,0.46412698412698417,0.006474945414086077,0.36976511226103387,0.01227679646725391,1.044398271973996,0.022606603983640124,"{'logisticregression__C': 1, 'logisticregression__max_iter': 300}"
rf,0.4158730158730159,0.013318207595811442,0.37908893823011275,0.01602192249506336,1.195361263076477,0.018679279274858268,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
