Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,10/09/17,Lazio,Milan,4,1,H,2,0,H,12,18,7,6,14,12,3,5,1,1,0,0
17/18,10/09/17,Udinese,Genoa,1,0,H,1,0,H,14,12,5,2,12,17,1,8,4,0,1,1
17/18,10/09/17,Verona,Fiorentina,0,5,A,0,3,A,14,20,2,10,12,11,8,6,2,1,0,0
17/18,16/09/17,Crotone,Inter,0,2,A,0,0,D,12,7,4,3,10,6,8,6,1,2,0,0
17/18,16/09/17,Fiorentina,Bologna,2,1,H,0,0,D,14,6,4,2,16,8,7,3,1,3,0,0
17/18,16/09/17,Roma,Verona,3,0,H,2,0,H,30,8,10,1,7,12,8,1,1,1,0,1
17/18,17/09/17,Chievo,Atalanta,1,1,D,0,0,D,15,10,4,6,13,11,6,5,2,0,0,0
17/18,17/09/17,Genoa,Lazio,2,3,A,0,1,A,5,18,4,6,10,12,2,1,1,2,0,0
17/18,17/09/17,Milan,Udinese,2,1,H,2,1,H,21,4,7,2,13,10,10,3,1,2,0,0
17/18,17/09/17,Napoli,Benevento,6,0,H,4,0,H,27,6,14,0,6,7,8,1,0,1,0,0
17/18,17/09/17,Sassuolo,Juventus,1,3,A,0,1,A,13,14,4,6,15,13,3,4,1,2,0,0
17/18,17/09/17,Spal,Cagliari,0,2,A,0,1,A,12,11,3,3,12,21,7,4,1,3,0,0
17/18,17/09/17,Torino,Sampdoria,2,2,D,2,2,D,13,11,3,5,14,15,3,6,2,1,0,0
17/18,19/09/17,Bologna,Inter,1,1,D,1,0,H,14,11,3,3,12,18,4,11,4,3,0,0
17/18,20/09/17,Atalanta,Crotone,5,1,H,3,0,H,14,7,11,5,5,19,3,3,0,1,0,0
17/18,20/09/17,Benevento,Roma,0,4,A,0,2,A,16,21,5,7,10,8,2,9,2,0,0,0
17/18,20/09/17,Cagliari,Sassuolo,0,1,A,0,0,D,17,14,3,6,21,10,5,2,3,3,0,0
17/18,20/09/17,Genoa,Chievo,1,1,D,0,0,D,11,16,2,7,19,7,6,2,1,2,0,0
17/18,20/09/17,Juventus,Fiorentina,1,0,H,0,0,D,12,9,5,0,10,23,3,1,1,2,0,1
17/18,20/09/17,Lazio,Napoli,1,4,A,1,0,H,4,17,2,11,9,13,3,2,2,3,0,0
17/18,20/09/17,Milan,Spal,2,0,H,1,0,H,20,6,7,0,19,15,9,8,1,2,0,0
17/18,20/09/17,Udinese,Torino,2,3,A,0,2,A,16,13,6,8,17,13,12,1,1,5,0,0
17/18,20/09/17,Verona,Sampdoria,0,0,D,0,0,D,14,17,6,5,17,6,4,7,3,1,0,0
17/18,23/09/17,Juventus,Torino,4,0,H,2,0,H,23,6,10,1,16,12,6,3,1,4,0,1
17/18,23/09/17,Roma,Udinese,3,1,H,3,0,H,18,14,8,5,9,10,5,8,0,1,0,0
17/18,23/09/17,Spal,Napoli,2,3,A,1,1,D,6,21,2,12,9,11,4,6,3,1,0,0
